Hashtag,Posts,Posts per hour,Average likes,Min likes,Average comments
#tech,22779611,193.72,1596,317,18
#instatech,2254821,7.01,2491,562,43
#techtrends,744355,26.92,1230,605,34
#technology,30203097,300,3892,358,32
#techgeek,407486,1.25,17909,920,228
#gadgets,7225659,31.45,1669,514,23
#computers,1938792,6.63,3981,828,29
#techlife,708305,9.81,780,501,2
#computer,7291755,26.5,20387,411,784
#artificialintelligence,6761297,305.08,2106,314,30
#technologylover,153482,1.62,13922,534,91
#techie,2047382,8.58,1367,510,28
#device,1417458,4.51,3680,507,19
#techaddict,202572,0.83,9368,573,135
#gadget,5178609,17.14,1778,467,28
#techy,1709170,4.31,3729,1790,51
#gadgetlover,411829,4.8,15069,455,343
#electronics,6945620,48.65,907,530,21
#laptops,1778778,15.09,2485,525,36
#techupdates,251295,4,4810,1787,69
#hack,4117948,285.82,1634,532,22
#electronic,6471168,34.81,624,299,18
#screen,2505022,7.72,2097,546,57
#geek,19811365,100.59,2345,649,63
#nerd,20128399,58.33,3263,387,42
#futuretech,1045663,16.83,1446,292,27
#smartphone,10298224,181.29,16742,383,166
#mobile,16233005,50.6,1248,535,66
#technologyisawesome,103824,0.55,22236,691,90
#sweepstakes,2391869,13.99,19494,407,4996
#innovation,18085076,516.28,1887,282,27
#dailytech,71852,0.3,2396,653,17
#contestalert,2033672,15.85,1418,361,993
#techlover,850275,7.26,2871,715,22
#pc,20051973,69.96,3732,575,96
#technologynews,1186392,7.18,2116,580,38
#android,14182676,57.53,2335,335,28
#deal,4539916,56.91,3256,781,58
#futuretechnology,442058,2.73,1763,520,49
#socialmedia,41055709,326.17,7784,366,145
#technews,2460049,36.59,4275,453,60
#startup,28081623,243,14894,319,69
#informationtechnology,1249968,9.9,4792,544,40
#software,6943369,73.33,4322,577,22
#instatechnology,362380,1.01,1771,303,113
#smallbiz,8640894,54.82,12273,296,158
#techies,332312,0.86,4141,869,17
#developer,5938796,26.53,1137,732,19
#social,11782475,87.6,1845,352,46
#technological,89551,0.65,1290,509,19
#technews24h,39838,0.16,2614,579,39
#gadgetfreak,271705,0.62,22404,588,118
#techgeeks,47304,0.1,5866,534,63
#techfacts,112781,1.08,20606,660,200
#smartgadget,200369,0.36,68126,548,345
#coolgadgets,754617,2.55,4232,363,18
#electroluc,78326,0.01,13475,4091,93
#cellphones,333296,0.99,3442,546,79
#newtech,788366,2.52,3332,525,40
#techsavvy,322658,14.1,2579,575,10
#techsupport,296404,25.23,4415,544,33
#latesttechnology,139308,0.56,2457,500,44
#linux,1915414,15.1,6716,598,56
#javascript,3845931,20.83,2393,791,13
#amd,1544852,13.35,1962,542,37
#cpu,749650,27.65,1647,584,67
#pcbuild,1234293,9.05,3044,648,51
#computerscience,3171721,30.74,1021,307,12
#hardware,2617977,0,1914,455,44
#machinelearning,3166381,52.7,2537,285,34
#deeplearning,861833,8.78,6728,415,124
#datascience,2341028,16.72,1441,354,19
#tensorflow,94084,0.51,1311,477,34
#pythonprogramming,984293,7.38,2948,354,30
#datamining,134515,1.38,7195,566,31
#dataanalyst,251676,1.44,2150,585,199
#cplusplus,149349,1.16,2428,525,40
#codinglife,1678275,15.36,2680,736,10
#amazingtechnology,65108,0.05,6934,597,46
#technicalworld,24986,0.02,9817,625,55
#techno,23690337,132.35,592,293,31
#techwear,959589,5.71,806,362,20
#techhouse,7828495,68.87,1345,511,47
#techgadgets,885257,9.9,7111,363,122
#techworld,1011063,3.16,3063,828,45
#technologies,1127984,6.1,3383,534,43
#techdeck,349552,1.6,3453,672,32
#techcrunch,155180,0.49,2650,563,44
#techouse,558675,2.62,5221,613,144
#technologie,679788,21.2,3740,455,67
#technics,1188831,3.88,1626,514,16
#techart,403552,5.71,4153,599,51
#technique,2703857,9.78,4750,327,46
#technogym,450908,2.06,7339,365,81
#techstartup,407134,2.1,6158,1512,34
#techturkey,223721,0.19,1285,503,5
#technoboy,147490,0.3,5248,872,62
#technical,1086775,7,1919,535,37
Generated by MetaHashtags.com
